userId,movieId,rating,title
0,0,4.0,Toy Story (1995)
4,0,4.0,Toy Story (1995)
6,0,4.5,Toy Story (1995)
14,0,2.5,Toy Story (1995)
16,0,4.5,Toy Story (1995)
17,0,3.5,Toy Story (1995)
18,0,4.0,Toy Story (1995)
20,0,3.5,Toy Story (1995)
26,0,3.0,Toy Story (1995)
30,0,5.0,Toy Story (1995)
31,0,3.0,Toy Story (1995)
32,0,3.0,Toy Story (1995)
39,0,5.0,Toy Story (1995)
42,0,5.0,Toy Story (1995)
43,0,3.0,Toy Story (1995)
44,0,4.0,Toy Story (1995)
45,0,5.0,Toy Story (1995)
49,0,3.0,Toy Story (1995)
53,0,3.0,Toy Story (1995)
56,0,5.0,Toy Story (1995)
62,0,5.0,Toy Story (1995)
63,0,4.0,Toy Story (1995)
65,0,4.0,Toy Story (1995)
67,0,2.5,Toy Story (1995)
70,0,5.0,Toy Story (1995)
72,0,4.5,Toy Story (1995)
75,0,0.5,Toy Story (1995)
77,0,4.0,Toy Story (1995)
81,0,2.5,Toy Story (1995)
85,0,4.0,Toy Story (1995)
88,0,3.0,Toy Story (1995)
89,0,3.0,Toy Story (1995)
90,0,4.0,Toy Story (1995)
92,0,3.0,Toy Story (1995)
95,0,5.0,Toy Story (1995)
97,0,4.5,Toy Story (1995)
102,0,4.0,Toy Story (1995)
106,0,4.0,Toy Story (1995)
111,0,3.0,Toy Story (1995)
118,0,3.5,Toy Story (1995)
120,0,4.0,Toy Story (1995)
123,0,4.0,Toy Story (1995)
129,0,3.0,Toy Story (1995)
131,0,2.0,Toy Story (1995)
133,0,3.0,Toy Story (1995)
134,0,4.0,Toy Story (1995)
136,0,4.0,Toy Story (1995)
139,0,3.0,Toy Story (1995)
140,0,4.0,Toy Story (1995)
143,0,3.5,Toy Story (1995)
144,0,5.0,Toy Story (1995)
150,0,5.0,Toy Story (1995)
152,0,2.0,Toy Story (1995)
154,0,3.0,Toy Story (1995)
155,0,4.0,Toy Story (1995)
158,0,4.5,Toy Story (1995)
159,0,4.0,Toy Story (1995)
160,0,4.0,Toy Story (1995)
165,0,5.0,Toy Story (1995)
166,0,3.5,Toy Story (1995)
168,0,4.5,Toy Story (1995)
170,0,5.0,Toy Story (1995)
176,0,5.0,Toy Story (1995)
177,0,4.0,Toy Story (1995)
178,0,4.0,Toy Story (1995)
181,0,4.0,Toy Story (1995)
184,0,4.0,Toy Story (1995)
185,0,4.0,Toy Story (1995)
190,0,4.0,Toy Story (1995)
192,0,2.0,Toy Story (1995)
199,0,3.5,Toy Story (1995)
200,0,5.0,Toy Story (1995)
201,0,4.0,Toy Story (1995)
205,0,5.0,Toy Story (1995)
212,0,3.5,Toy Story (1995)
213,0,3.0,Toy Story (1995)
215,0,3.0,Toy Story (1995)
216,0,4.0,Toy Story (1995)
218,0,3.5,Toy Story (1995)
219,0,5.0,Toy Story (1995)
222,0,3.5,Toy Story (1995)
225,0,3.5,Toy Story (1995)
228,0,5.0,Toy Story (1995)
231,0,3.5,Toy Story (1995)
232,0,3.0,Toy Story (1995)
233,0,5.0,Toy Story (1995)
238,0,4.0,Toy Story (1995)
239,0,5.0,Toy Story (1995)
246,0,5.0,Toy Story (1995)
248,0,4.0,Toy Story (1995)
251,0,4.5,Toy Story (1995)
253,0,4.5,Toy Story (1995)
262,0,4.0,Toy Story (1995)
263,0,4.0,Toy Story (1995)
265,0,2.0,Toy Story (1995)
268,0,5.0,Toy Story (1995)
